model,RMSE,MAE,Precision@10,Recall@10,HitRate@10,fit_seconds
SVD (Matrix Factorisation) [surprise],0.8553952637296627,0.6574787251668602,0.04674457429048415,0.032807728813072576,0.29549248747913187,1.72
User-based CF,0.8884372131451783,0.6758565053916472,0.13388981636060102,0.12091342207564724,0.6176961602671118,0.07
Hybrid (CF + Content),0.8884372131451783,0.6758565053916472,0.1340567612687813,0.12303388604973928,0.6427378964941569,0.38
Item-based CF,0.9145067678047448,0.6833748158748075,0.11652754590984978,0.1005056490741499,0.5759599332220368,4.83
Popularity,0.9532854176809075,0.7444442397974373,0.10667779632721201,0.08555215899909596,0.5075125208681135,0.0
